codec	image	setting	bytes	bpp	psnr_db	ssim
c2d	kodim01.png	ratio=2	591793	12.0401	45.412	0.99480
c2d	kodim01.png	ratio=3	390426	7.9432	38.429	0.97856
c2d	kodim01.png	ratio=5	232279	4.7257	32.814	0.93273
c2d	kodim01.png	ratio=8	143430	2.9181	29.454	0.86490
c2d	kodim01.png	ratio=12	95273	1.9383	27.286	0.79231
c2d	kodim01.png	ratio=20	56331	1.1461	25.079	0.68459
c2d	kodim01.png	ratio=30	37619	0.7654	23.744	0.60081
c2d	kodim01.png	ratio=40	28239	0.5745	22.857	0.53523
c2d	kodim01.png	ratio=50	21981	0.4472	22.147	0.47796
c2d	kodim01.png	ratio=60	18428	0.3749	21.680	0.43544
c2d	kodim01.png	ratio=80	13768	0.2801	21.032	0.38104
c2d	kodim01.png	ratio=120	9066	0.1844	20.030	0.30268
c2d-ycocg	kodim01.png	ratio=2	590931	12.0225	55.362	0.99950
c2d-ycocg	kodim01.png	ratio=3	391942	7.9741	49.147	0.99796
c2d-ycocg	kodim01.png	ratio=5	234682	4.7746	42.583	0.99163
c2d-ycocg	kodim01.png	ratio=8	146651	2.9836	36.975	0.97274
c2d-ycocg	kodim01.png	ratio=12	95678	1.9466	32.886	0.93618
c2d-ycocg	kodim01.png	ratio=20	57622	1.1723	29.276	0.86435
c2d-ycocg	kodim01.png	ratio=30	38049	0.7741	26.998	0.78613
c2d-ycocg	kodim01.png	ratio=40	28642	0.5827	25.672	0.72233
c2d-ycocg	kodim01.png	ratio=50	22663	0.4611	24.667	0.66768
c2d-ycocg	kodim01.png	ratio=60	18587	0.3782	23.901	0.62131
c2d-ycocg	kodim01.png	ratio=80	13899	0.2828	22.806	0.54433
c2d-ycocg	kodim01.png	ratio=120	9075	0.1846	21.342	0.41721
c2di-ycocg	kodim01.png	ratio=2	587630	11.9554	55.731	0.99946
c2di-ycocg	kodim01.png	ratio=3	390850	7.9519	49.523	0.99789
c2di-ycocg	kodim01.png	ratio=5	233563	4.7519	42.838	0.99144
